date, pm25, pm10, o3, no2, so2, co
10/2/20,56,21,7,12, , 
10/3/20,48,25,12,14, , 
10/4/20,57,18,11,12, , 
10/5/20,43,23,10,9, , 
10/6/20,58,26,12,12, , 
10/7/20,68,28,12,9, , 
10/8/20,67,20,5,10, , 
10/9/20,57,20,4,18, , 
10/10/20,53,26,2,16, , 
10/11/20,52,27,6,16, , 
10/12/20,58,42,12,20, , 
10/13/20,77,31,3,16, , 
10/14/20,69,32,11,16, , 
10/15/20,63,55,11,12,1, 
10/16/20,79,26,11,13, , 
10/17/20,49,20,4,15, , 
10/18/20,46,19,5,7, , 
10/19/20,42,34,4,7, , 
10/20/20,71,41,8,7, , 
10/21/20,67,31,9,12, , 
10/22/20,65,28,6,9,1, 
10/23/20,75,38,16,8, , 
10/24/20,83,59,22,12,1, 
10/25/20,99,64,29,25,1, 
10/26/20,128,59,22,25,1, 
10/27/20,116,42,11,21,1, 
10/28/20,82,46,16,20, , 
10/29/20,94,33,3,15, , 
10/30/20,76,25,2,12, , 
10/31/20,57,29,8,14, , 
11/1/20,58,32,7,12, , 
11/2/20,56,42,15,12, , 
11/3/20,77,38,13,9, , 
11/4/20,79,42,18,13, , 
11/5/20,94,39,23,14,1, 
11/6/20,85,49,20,18,2, 
11/7/20,94,34,16,10, , 
11/8/20,74,49,21,11, , 
11/9/20,103,49,22,14, , 
11/10/20,102,53,23,18,1, 
11/11/20,108,52,19,15,1, 
11/12/20,101,42,12,15, , 
11/13/20,87,53,21,15, , 
11/14/20,106,62,31,16,1, 
11/15/20,120,65,34,16,1, 
11/16/20,138,37,23,13,1, 
11/17/20,77,47,18,20,1, 
11/18/20,89,50,15,23,1, 
11/19/20,100,57,20,21,1, 
11/20/20,119,53,12,21, , 
11/21/20,107,43,5,17, , 
11/22/20,80,35,11,19, , 
11/23/20,77,49,7,21,1, 
11/24/20,92,36,11,15, , 
11/25/20,72,39,12,14, , 
11/26/20,73,37,14,15, , 
11/27/20,67,30,12,15, , 
11/28/20,59,40,20,10, , 
11/29/20,71,35,24,11, , 
11/30/20,71,27,21,9, , 
12/1/20,60,37,17,12,1, 
12/2/20,66,33,18,10,1, 
12/3/20,67,32,18,9,1, 
12/4/20,68,39,20,10,1, 
12/5/20,80,42,21,11, , 
12/6/20,83,51,23,16,1, 
12/7/20,91,56,20,20,1, 
12/8/20,109,54,22,17,1, 
12/9/20,104,53,22,16,1, 
12/10/20,103,64,25,22,2, 
12/11/20,132,71,28,15,2, 
12/12/20,148,65,22,17,1, 
12/13/20,140,70,16,23,2, 
12/14/20,143,71,15,25,1, 
12/15/20,161,76,7,24,3, 
12/16/20,149,51,10,15,2, 
12/17/20,107,44,13,16,2, 
12/18/20,83,50,24,25,1, 
12/19/20,93,43,20,17,1, 
12/20/20,79,42,21,15,1, 
12/21/20,81,47,19,25,1, 
12/22/20,88,60,20,26,2, 
12/23/20,116,64,19,28,2, 
12/24/20,128,63,19,31,2, 
12/25/20,138,57,9,25,2, 
12/26/20,120,55,14,28,2, 
12/27/20,106,51,20,18,1, 
12/28/20,101,42,15,17,1, 
12/29/20,81,55,16,24,1, 
12/30/20,105,51,11,18,2, 
12/31/20,98,38,19,5,1, 
1/1/21,76,42,24,8,1, 
1/2/21,82,46,25,11,1, 
1/3/21,93,58,26,14,2, 
1/4/21,130,56,21,17,2, 
7/2/20,46,21,3,5, , 
7/3/20,46,22,5,6, , 
7/4/20,55,29,8,5, , 
7/5/20,60,23,7,3, , 
7/6/20,55,23,10,3, , 
7/7/20,50,23,14,3, , 
7/8/20,53,19,6,5,1, 
7/9/20,47,23,12,5,2, 
7/10/20,50,22,5,6,2, 
7/11/20,53,26,7,7,1, 
7/12/20,50,24,13,7,2, 
7/13/20,50,27,9,9,1, 
7/14/20,42,24,6,8,1, 
7/15/20,53,27,8,8,2, 
7/16/20,57,25,94,7,1, 
7/17/20,51,26,13,6,2, 
7/18/20,53,26,15,7,1, 
7/19/20,65,18,6,4,2, 
7/20/20,42,29,2,10,2, 
7/21/20,61,28,3,16,1, 
7/22/20,60,26,8,12,2, 
7/23/20,63,21,5,7,1, 
7/24/20,56,25,3,11,2, 
7/25/20,58,26,8,10,1, 
7/26/20,59,22,7,5,1, 
7/27/20,51,15,6,4,2, 
7/28/20,40,18,7,5,1, 
7/29/20,44,23,12,7,2, 
7/30/20,49,20,10,5,2, 
7/31/20,48,18,8,5,2, 
8/1/20,43,17,6,4,1, 
8/2/20,41,14,5,4,2, 
8/3/20,32,17,5,4,1, 
8/4/20,37,19,5,4, , 
8/5/20,44,21,8,5, , 
8/6/20,48,27,7,7,1, 
8/7/20,57,28,5,8, , 
8/8/20,57,25,4,6, , 
8/9/20,49,19,5,6, , 
8/10/20,42,18,5,5, , 
8/11/20,42,25,5,6, , 
8/12/20,45,17,4,4, , 
8/13/20,41,21,4,6, , 
8/14/20,51,25,5,8, , 
8/15/20,56,31,4,7, , 
8/16/20,61,28,8,5, , 
8/17/20,57,32,8,7, , 
8/18/20,63,40,13,6,1, 
8/19/20,73,32,8,7, , 
8/20/20,65,38,5,7, , 
8/21/20,76,29,7,6, , 
8/22/20,60,23,17,5, , 
8/23/20,55,23,7,6, , 
8/24/20,52,27,8,6, , 
