date, pm25, pm10, o3, no2, so2, co
Jan-19,81,40,22,18, , 
Jan-19,88,48,13,20, , 
Jan-19,90,55,13,24,1, 
Jan-19,103,62,4,24,1, 
Jan-19,117,76,20,20,1, 
Jan-19,159,74,21,19, , 
Jan-19,160,47,11,11, , 
Jan-19,90,49,10,20, , 
Jan-19,92,59,22,23,1, 
Jan-19,121,85,22,30,1, 
Jan-19,172,73,23,22,1, 
Jan-19,153,76,23,22,1, 
Jan-19,152,78,23,19,1, 
Jan-19,162,67,17,21,1, 
Jan-19,146,63,20,20,1, 
Jan-19,124,67,22,18, , 
Jan-19,136,58,20,16,1, 
Jan-19,112,70,29,20,1, 
Jan-19,143,62,32,26,1, 
Jan-19,124,74,29,30,1, 
Jan-19,158,65,23,19, , 
Jan-19,132,64,27,22, , 
Jan-19,134,60,26,24, , 
Jan-19,136,79,33,30,1, 
Jan-19,163,73,28,24,1, 
Jan-19,146,62,27,17, , 
Jan-19,135,73,34,28, , 
Jan-19,157,82,31,38, , 
Jan-19,165,94,34,38,1, 
Jan-19,177,79,24,21, , 
Feb-19,167,61,23,14, , 
Feb-19,128,57,25,12, , 
Feb-19,115,44,17,9, , 
Feb-19,94,50,20,10,1, 
Feb-19,99,48,19,9, , 
Feb-19,95,38,11,7, , 
Feb-19,77,41,15,8,1, 
Feb-19,87,43,17,9,1, 
Feb-19,86,36,11,8, , 
Feb-19,73,40,14,6, , 
Feb-19,80,41,13,8, , 
Feb-19,87,50,19,19, , 
Feb-19,101,72,34,16, , 
Feb-19,143,50,16,7, , 
Feb-19,90,50,16,8, , 
Feb-19,92,43,15,6,1, 
Feb-19,82,36,14,5, , 
Feb-19,69,31,12,6,1, 
Feb-19,66,26,11,6, , 
Feb-19,56,26,12,7,1, 
Feb-19,60,34,15,8,1, 
Feb-19,74,31,9,7, , 
Feb-19,63,37,15,7, , 
Feb-19,77,38,14,5, , 
Feb-19,75,38,15,5, , 
Feb-19,77,38,17,6,1, 
Feb-19,79,50,19,8, , 
Feb-19,96,52,19,7, , 
Mar-19,104,50,14,7, , 
Mar-19,95,52,15,6, , 
Mar-19,100,47,18,4,1, 
Mar-19,93,40,14,5,1, 
Mar-19,80,46,15,7,1, 
Mar-19,98,46,15,9,1, 
Mar-19,100,29,9,6, , 
Mar-19,69,33,12,8, , 
Mar-19,76,31,12,6, , 
Mar-19,71,31,13,6,1, 
Mar-19,69,39,25,7, , 
Mar-19,75,51,35,12, , 
Mar-19,116,42,14,8, , 
Mar-19,83,34,12,6, , 
Mar-19,72,31,12,6, , 
Mar-19,64,47,8,13, , 
Mar-19,101,47,16,11,1, 
Mar-19,102,51,13,11, , 
Mar-19,109,45,12,7, , 
Mar-19,93,41,9,6, , 
Mar-19,90,36,6,8, , 
Mar-19,79,47,8,9,1, 
Mar-19,104,53,3,11, , 
Mar-19,111,44,4,5, , 
Mar-19,96,34,2,8, , 
Mar-19,83,38,5,10, , 
Mar-19,77,36,4,6, , 
Mar-19,74,41,7,8, , 
Mar-19,78,40,3,7, , 
Mar-19,80,38,4,7, , 
Mar-19,81,39,3,7, , 
Apr-19,86,38,13,8, , 
Apr-19,79,39,16,11, , 
Apr-19,77,36,9,10, , 
Apr-19,78,37,9,10, , 
Apr-19,71,27,9,6, , 
Apr-19,63,35,14,7,1, 
Apr-19,77,28,11,4,1, 
Apr-19,64,35,19,7, , 
Apr-19,75,27,11,3, , 
Apr-19,62,31,11,5, , 
Apr-19,67,32,8,5, , 
Apr-19,67,32,11,6, , 
Apr-19,69,28,11,5, , 
Apr-19,67,24,9,4, , 
Apr-19,59,20,7,4, , 
Apr-19,58,21,9,4, , 
Apr-19,59,29,6,5,1, 
Apr-19,68,32,11,4, , 
Apr-19,70,33,9,5, , 
Apr-19,73,48,23,8,1, 
Apr-19,99,55,11,5,1, 
Apr-19,105,34,10,5,1, 
Apr-19,76,39,20,11,1, 
Apr-19,75,37,22,9,1, 
Apr-19,75,39,22,9, , 
Apr-19,82,46,17,13, , 
Apr-19,94,49,9,10, , 
Apr-19,97,26,8,6, , 
Apr-19,69,24,10,7, , 
Apr-19,59,27,8,6, , 
May-19,56,28,14,11, , 
May-19,51,25,13,11, , 
May-19,52,28,14,9,2, 
May-19,61,25,12,6,1, 
May-19,56,31,6,5, , 
May-19,50,47,16,5, , 
May-19,79,60,15,10, , 
May-19,98,61,16,11, , 
May-19,107,61,16,8,1, 
May-19,106,55,17,12, , 
May-19,97,54,17,9, , 
May-19,98,55,15,10, , 
May-19,104,39,12,14,1, 
May-19,80,43,8,13, , 
May-19,89,55,13,9,1, 
May-19,109,51,10,10, , 
May-19,98,49,11,11,1, 
May-19,88,58,13,10,1, 
May-19,95,53,15,6, , 
May-19,84,42,15,5, , 
May-19,85,43,11,8,1, 
May-19,82,38,10,12, , 
May-19,72,34,8,11,1, 
May-19,68,35,13,9, , 
May-19,71,40,11,8,1, 
May-19,75,32,11,6,1, 
May-19,66,38,5,9,1, 
May-19,79,41,4,7,1, 
May-19,76,23,7,9,1, 
May-19,50,24,3,10,1, 
May-19,51,30,8,9,1, 
Jun-19,61,28,10,8,1, 
Jun-19,55,26,7,7, , 
Jun-19,56,33,9,8, , 
Jun-19,64,30,19,9,1, 
Jun-19,62,45,6,8, , 
Jun-19,59,36,8,16, , 
Jun-19,71,36,11,16,1, 
Jun-19,75,37,12,9,1, 
Jun-19,68,28,8,7, , 
Jun-19,57,25,7,6, , 
Jun-19,48,25,3,10,1,10
Jun-19,58,23,6,5,1, 
Jun-19,49,23,7,5, , 
Jun-19,51,24,9,4,1, 
Jun-19,49,27,12,5,1, 
Jun-19,53,30,6,7, , 
Jun-19,58,31,5,6, , 
Jun-19,48,21,5,6, , 
Jun-19,44,20,6,6,1, 
Jun-19,44,34,2,10, , 
Jun-19,63,37,2,6, , 
Jun-19,68,32,1,3, , 
Jun-19,64,29,1,3, , 
Jun-19,66,25,3,4, , 
Jun-19,60,26,3,9, , 
Jun-19,53,24,8,7, , 
Jun-19,63,27,4,9,1, 
Jun-19,62,31,6,7, , 
Jun-19,63,25,7,6, , 
Jun-19,51,21,7,6, , 
Jul-19,52,32,6,10,1, 
Jul-19,66,43,5,9,1, 
Jul-19,76,43,3,10,1, 
Jul-19,71,63,3,9,1, 
Jul-19,69,33,4,10,1, 
Jul-19,66,43,1,9,1, 
Jul-19,74,37,3,7, , 
Jul-19,61,35,7,8,1, 
Jul-19,62,35,8,8,3, 
Jul-19,67,43,9,8,1, 
Jul-19,71,59,10,7,2, 
Jul-19,81,39,11,5,1, 
Jul-19,66,34,10,6,1, 
Jul-19,61,26,4,4,1, 
Jul-19,49,24,5,6,1, 
Jul-19,50,22,12,6,1, 
Jul-19,43,24,10,7,1, 
Jul-19,51,22,13,7,1, 
Jul-19,53,24,11,7,1, 
Jul-19,54,27,13,9,1, 
Jul-19,61,17,6,7,1, 
Jul-19,54,27,5,10,1, 
Jul-19,67,28,3,8,1, 
Jul-19,66,39,2,8,1, 
Jul-19,65,27,3,8,1, 
Jul-19,87,34,15,9,1, 
Jul-19,65,28,10,10,1, 
Jul-19,50,33,11,7,1, 
Jul-19,55,20,6,6,1, 
Jul-19,39,25,7,7,1, 
Jul-19,57,27,8,5,1, 
Aug-19,57,25,6,6, , 
Aug-19,49,24,7,8,1, 
Aug-19,49,23,5,7,1, 
Aug-19,51,18,6,7,1, 
Aug-19,45,22,6,8,1, 
Aug-19,47,24,7,8,1, 
Aug-19,54,25,6,8, , 
Aug-19,54,23,4,7,1, 
Aug-19,60,25,6,8,1, 
Aug-19,64,18,5,6,1, 
Aug-19,48,18,6,4,1, 
Aug-19,42,18,7,4,1, 
Aug-19,46,24,5,7,1, 
Aug-19,56,33,7,8,1, 
Aug-19,67,32,10,6,1, 
Aug-19,67,32,9,7,1, 
Aug-19,70,22,5,6,1, 
Aug-19,47,20,8,5,1, 
Aug-19,41,27,10,8,1, 
Aug-19,52,26,5,8,1, 
Aug-19,55,23,8,9, , 
Aug-19,43,25,5,7,1, 
Aug-19,50,25,2,8, , 
Aug-19,52,24,6,8,1, 
Aug-19,46,20,7,5,1, 
Aug-19,40,18,4,7,1, 
Aug-19,34,24,5,8, , 
Aug-19,46,22,8,8,1, 
Aug-19,41,21,6,9,1, 
Aug-19,46,25,3,9,1, 
Aug-19,46,21,6,7,1, 
Sep-19,47,18,4,6,1, 
Sep-19,37,25,4,8,1, 
Sep-19,51,23,2,9, , 
Sep-19,53,26,3,9,1, 
Sep-19,52,27,3,9,1, 
Sep-19,58,28,7,9,1, 
Sep-19,66,31,3,8,3, 
Sep-19,60,26,6,7,4, 
Sep-19,57,29,5,8,2, 
Sep-19,57,26,3,8,1, 
Sep-19,55,30,9,12,2, 
Sep-19,59,29,4,10,3, 
Sep-19,56,20,5,7,3, 
Sep-19,42,24,5,10,1, 
Sep-19,55,31,9,11,4, 
Sep-19,63,28,7,14,2, 
Sep-19,65,35,12,13,3, 
Sep-19,76,31,13,17,2, 
Sep-19,66,33,11,19,3, 
Sep-19,74,33,15,14,3, 
Sep-19,77,26,4,8,5, 
Sep-19,58,33,10,6,3, 
Sep-19,78,25,7,4,2, 
Sep-19,62,41,16,7,1, 
Sep-19,89,59,18,13,1, 
Sep-19,116,59,20,22,1, 
Sep-19,110,49,16,19,1, 
Sep-19,102,62,24,20,2, 
Sep-19,131,66,32,20,1, 
Sep-19,141,77,30,18,2, 
Oct-19,171,48,14,11,1, 
Oct-19,106,37,17,13,1, 
Oct-19,85,36,12,12,2, 
Oct-19,78,45,6,17,1, 
Oct-19,93,45,8,10,1, 
Oct-19,90,33,10,15,2, 
Oct-19,82,29,10,13,1, 
Oct-19,72,34,11,17, , 
Oct-19,72,26,9,18,1, 
Oct-19,83,34,15,20,1, 
Oct-19,101,41,14,20,2, 
Oct-19,96,37,14,19,2, 
Oct-19,88,23,5,11,2, 
Oct-19,79,19,9,11,4, 
Oct-19,65,31,9,12,2, 
Oct-19,73,42,6,17,3, 
Oct-19,73,46,10,19,1, 
Oct-19,75,44,17,22,2, 
Oct-19,75,46,18,17,2, 
Oct-19,83,46,15,15,1, 
Oct-19,82,50,23,15,1, 
Oct-19,92,69,27,22,1, 
Oct-19,148,46,19,8,1, 
Oct-19,94,36,12,8,1, 
Oct-19,80,42,18,12,1, 
Oct-19,84,44,16,13,2, 
Oct-19,90,32,15,10,3, 
Oct-19,68,34,18,12,1, 
Oct-19,73,37,13,15,1, 
Oct-19,79,40,19,13,1, 
Oct-19,78,48,21,15,1, 
Nov-19,86,30,12,11,1, 
Nov-19,62,36,8,14,1, 
Nov-19,75,39,14,11,1, 
Nov-19,85,41,22,14,2, 
Nov-19,81,58,24,18, , 
Nov-19,110,59,19,19,1, 
Nov-19,122,61,15,18,1, 
Nov-19,127,61,22,14,2, 
Nov-19,120,60,22,12,1, 
Nov-19,132,61,21,17, , 
Nov-19,128,69,25,27,1, 
Nov-19,131,62,13,24,1, 
Nov-19,137,54,13,16,1, 
Nov-19,113,41,6,15,1, 
Nov-19,81,46,16,15,1, 
Nov-19,88,54,20,18,1, 
Nov-19,109,56,27,16,1, 
Nov-19,113,55,15,20,3, 
Nov-19,99,51,16,16, , 
Nov-19,88,40,13,12, , 
Nov-19,78,41,18,13,1, 
Nov-19,85,44,16,17,1, 
Nov-19,87,51,18,23,2, 
Nov-19,107,49,20,20,2, 
Nov-19,99,55,15,21,1, 
Nov-19,111,46,15,19,2, 
Nov-19,90,47,10,18,1, 
Nov-19,87,38,10,10,3, 
Nov-19,72,35,17,12,1, 
Nov-19,74,36,8,16,1, 
Dec-19,73,39,14,15,2, 
Dec-19,79,36,11,12,1, 
Dec-19,66,44,15,12,2, 
Dec-19,84,51,20,9,1, 
Dec-19,104,51,24,7,2, 
Dec-19,107,60,23,15,2, 
Dec-19,119,58,21,14,4, 
Dec-19,103,68,23,21,4, 
Dec-19,134,64,17,16,3, 
Dec-19,129,68,22,23,1, 
Dec-19,137,74,18,32,1, 
Dec-19,149,67,16,27,1, 
Dec-19,138,68,16,20,1, 
Dec-19,142,63,13,17,1, 
Dec-19,128,67,3,20,1, 
Dec-19,123,61,14,21,1, 
Dec-19,113,59,12,24,1, 
Dec-19,115,60,14,21,1, 
Dec-19,116,59,16,20,1, 
Dec-19,117,57,13,18,1, 
Dec-19,114,57,15,18,1, 
Dec-19,113,50,13,16,2, 
Dec-19,99,50,14,16,1, 
Dec-19,97,52,15,13,1, 
Dec-19,103,54,15,16,1, 
Dec-19,108,51,14,15,1, 
Dec-19,102,57,14,15,1, 
Dec-19,119,57,15,14,1, 
Dec-19,115,59,17,15,1, 
Dec-19,127,58,14,15,2, 
