date, pm25, pm10, o3, no2, so2, co
October-20,56,21,7,12, , 
October-20,48,25,12,14, , 
October-20,57,18,11,12, , 
October-20,43,23,10,9, , 
October-20,58,26,12,12, , 
October-20,68,28,12,9, , 
October-20,67,20,5,10, , 
October-20,57,20,4,18, , 
October-20,53,26,2,16, , 
October-20,52,27,6,16, , 
October-20,58,42,12,20, , 
October-20,77,31,3,16, , 
October-20,69,32,11,16, , 
October-20,63,55,11,12,1, 
October-20,79,26,11,13, , 
October-20,49,20,4,15, , 
October-20,46,19,5,7, , 
October-20,42,34,4,7, , 
October-20,71,41,8,7, , 
October-20,67,31,9,12, , 
October-20,65,28,6,9,1, 
October-20,75,38,16,8, , 
October-20,83,59,22,12,1, 
October-20,99,64,29,25,1, 
October-20,128,59,22,25,1, 
October-20,116,42,11,21,1, 
October-20,82,46,16,20, , 
October-20,94,33,3,15, , 
October-20,76,25,2,12, , 
October-20,57,29,8,14, , 
November-20,58,32,7,12, , 
November-20,56,42,15,12, , 
November-20,77,38,13,9, , 
November-20,79,42,18,13, , 
November-20,94,39,23,14,1, 
November-20,85,49,20,18,2, 
November-20,94,34,16,10, , 
November-20,74,49,21,11, , 
November-20,103,49,22,14, , 
November-20,102,53,23,18,1, 
November-20,108,52,19,15,1, 
November-20,101,42,12,15, , 
November-20,87,53,21,15, , 
November-20,106,62,31,16,1, 
November-20,120,65,34,16,1, 
November-20,138,37,23,13,1, 
November-20,77,47,18,20,1, 
November-20,89,50,15,23,1, 
November-20,100,57,20,21,1, 
November-20,119,53,12,21, , 
November-20,107,43,5,17, , 
November-20,80,35,11,19, , 
November-20,77,49,7,21,1, 
November-20,92,36,11,15, , 
November-20,72,39,12,14, , 
November-20,73,37,14,15, , 
November-20,67,30,12,15, , 
November-20,59,40,20,10, , 
November-20,71,35,24,11, , 
November-20,71,27,21,9, , 
December-20,60,37,17,12,1, 
December-20,66,33,18,10,1, 
December-20,67,32,18,9,1, 
December-20,68,39,20,10,1, 
December-20,80,42,21,11, , 
December-20,83,51,23,16,1, 
December-20,91,56,20,20,1, 
December-20,109,54,22,17,1, 
December-20,104,53,22,16,1, 
